pixelSizeMM;testType;part;trialNumInTest;blockNumber;trialInBlock;distanceMM;distancePix;widthMM;widthPix;cursorSizeMM;cursorSizePix;movementDirection;startPosX;startPosY;startCenterX;startCenterY;startWidthPix;startHeightPix;targetPosX;targetPosY;targetCenterX;targetCenterY;targetSideLengthPix;pressPointStartX;pressPointStartY;EucDistPressStartPix;EucDistPressStartMM;releasePointStartX;releasePointStartY;EucDistReleaseStartPix;EucDistReleaseStartMM;pressPointTargetX;pressPointTargetY;EucDistPressTargetPix;EucDistPressTargetMM;releasePointTargetX;releasePointTargetY;EucDistReleaseTargetPix;EucDistReleaseTargetMM;hit;trialStartTime;trialEndTime;trialTime
0.2309090909090909;Fitts;P100;1;1;1;150.0909090909091;650;7.158181818181818;31;30.0;129.9212598425197;right;335;437;355;511;40;149;990;496;1005;511;30;359;517;7.211102;1.665109;359;517;7.211102;1.665109;1009;510;4.123105;0.952062;1009;510;4.123105;0.952062;1;1619780120189;1619780121813;1624
0.2309090909090909;Fitts;P100;2;1;2;50.10727272727272;217;20.08909090909091;87;30.0;129.9212598425197;left;681;279;701;353;40;149;441;310;484;353;86;696;350;5.830951;1.346419;696;351;5.385164;1.243483;494;356;10.440306;2.410761;493;356;9.486832;2.190595;1;1619780123394;1619780124276;882
0.2309090909090909;Fitts;P100;3;1;3;150.0909090909091;650;20.08909090909091;87;30.0;129.9212598425197;right;222;555;242;629;40;149;849;586;892;629;86;242;623;6.0;1.385454;245;622;7.615773;1.758551;887;626;5.830951;1.346419;887;626;5.830951;1.346419;1;1619780125645;1619780126774;1129
0.2309090909090909;Fitts;P100;4;1;4;50.10727272727272;217;2.309090909090909;10;30.0;129.9212598425197;left;1039;326;1059;400;40;149;837;395;842;400;10;1056;399;3.162277;0.730198;1056;399;3.162277;0.730198;846;403;5.0;1.154545;846;403;5.0;1.154545;1;1619780127917;1619780129113;1196
0.2309090909090909;Fitts;P100;5;1;5;109.91272727272727;476;4.849090909090909;21;30.0;129.9212598425197;left;977;506;997;580;40;149;511;570;521;580;20;1007;574;11.661903;2.692839;1007;574;11.661903;2.692839;515;582;6.324555;1.460397;515;582;6.324555;1.460397;1;1619780131315;1619780132331;1016
0.2309090909090909;Fitts;P100;6;1;6;109.91272727272727;476;4.849090909090909;21;30.0;129.9212598425197;right;213;345;233;419;40;149;699;409;709;419;20;236;416;4.24264;0.979664;237;416;5.0;1.154545;713;415;5.656854;1.306219;713;415;5.656854;1.306219;1;1619780133632;1619780134660;1028
0.2309090909090909;Fitts;P100;7;1;7;50.10727272727272;217;24.938181818181818;108;30.0;129.9212598425197;left;1042;561;1062;635;40;149;791;581;845;635;108;1073;631;11.704699;2.702721;1073;631;11.704699;2.702721;834;630;12.083045;2.790085;835;631;10.770329;2.486967;1;1619780135928;1619780136582;654
0.2309090909090909;Fitts;P100;8;1;8;109.91272727272727;476;20.08909090909091;87;30.0;129.9212598425197;left;1194;328;1214;402;40;149;695;359;738;402;86;1217;391;11.401754;2.632768;1217;391;11.401754;2.632768;734;401;4.123105;0.952062;734;401;4.123105;0.952062;1;1619780137706;1619780138947;1241
0.2309090909090909;Fitts;P100;9;1;9;150.0909090909091;650;24.938181818181818;108;30.0;129.9212598425197;left;1242;544;1262;618;40;149;558;564;612;618;108;1252;615;10.440306;2.410761;1252;615;10.440306;2.410761;612;618;0.0;0.0;612;618;0.0;0.0;1;1619780140224;1619780141196;972
0.2309090909090909;Fitts;P100;10;1;10;109.91272727272727;476;24.938181818181818;108;30.0;129.9212598425197;right;324;372;344;446;40;149;766;392;820;446;108;339;442;6.403124;1.478539;340;442;5.656854;1.306219;825;448;5.385164;1.243483;825;448;5.385164;1.243483;1;1619780142327;1619780143141;814
