pixelSizeMM;testType;part;trialNumInTest;blockNumber;trialInBlock;distanceMM;distancePix;widthMM;widthPix;cursorSizeMM;cursorSizePix;movementDirection;startPosX;startPosY;startCenterX;startCenterY;startWidthPix;startHeightPix;targetPosX;targetPosY;targetCenterX;targetCenterY;targetSideLengthPix;pressPointStartX;pressPointStartY;EucDistPressStartPix;EucDistPressStartMM;releasePointStartX;releasePointStartY;EucDistReleaseStartPix;EucDistReleaseStartMM;pressPointTargetX;pressPointTargetY;EucDistPressTargetPix;EucDistPressTargetMM;releasePointTargetX;releasePointTargetY;EucDistReleaseTargetPix;EucDistReleaseTargetMM;hit;trialStartTime;trialEndTime;trialTime
0.2309090909090909;Fitts;P100;1;1;1;50.10727272727272;217;7.158181818181818;31;1.0;4.330708661417323;right;261;338;281;350;40;24;483;335;498;350;30;280;351;1.414213;0.326554;280;351;1.414213;0.326554;498;351;1.0;0.230909;498;351;1.0;0.230909;1;1618834074379;1618834075908;1529
0.2309090909090909;Fitts;P100;2;1;2;150.0909090909091;650;7.158181818181818;31;1.0;4.330708661417323;right;258;588;278;600;40;24;913;585;928;600;30;277;601;1.414213;0.326554;277;601;1.414213;0.326554;929;598;2.236067;0.516328;929;598;2.236067;0.516328;1;1618834077000;1618834077859;859
0.2309090909090909;Fitts;P100;3;1;3;109.91272727272727;476;4.849090909090909;21;1.0;4.330708661417323;left;1294;268;1314;280;40;24;828;270;838;280;20;1313;284;4.123105;0.952062;1313;284;4.123105;0.952062;835;280;3.0;0.692727;835;280;3.0;0.692727;1;1618834079160;1618834080581;1421
0.2309090909090909;Fitts;P100;4;1;4;50.10727272727272;217;2.309090909090909;10;1.0;4.330708661417323;left;446;540;466;552;40;24;244;547;249;552;10;463;555;4.24264;0.979664;463;555;4.24264;0.979664;250;553;1.414213;0.326554;250;553;1.414213;0.326554;1;1618834082333;1618834083427;1094
0.2309090909090909;Fitts;P100;5;1;5;50.10727272727272;217;20.08909090909091;87;1.0;4.330708661417323;right;193;323;213;335;40;24;387;292;430;335;86;220;338;7.615773;1.758551;220;338;7.615773;1.758551;453;332;23.194827;5.355896;453;332;23.194827;5.355896;1;1618834084729;1618834085711;982
0.2309090909090909;Fitts;P100;6;1;6;150.0909090909091;650;9.929090909090908;43;1.0;4.330708661417323;left;1214;556;1234;568;40;24;563;547;584;568;42;1239;566;5.385164;1.243483;1239;566;5.385164;1.243483;581;569;3.162277;0.730198;581;569;3.162277;0.730198;1;1618834087137;1618834088198;1061
0.2309090909090909;Fitts;P100;7;1;7;109.91272727272727;476;15.009090909090908;65;1.0;4.330708661417323;left;1075;687;1095;699;40;24;587;667;619;699;64;1094;699;1.0;0.230909;1093;699;2.0;0.461818;619;698;1.0;0.230909;619;698;1.0;0.230909;1;1618834090883;1618834091685;802
0.2309090909090909;Fitts;P100;8;1;8;50.10727272727272;217;7.158181818181818;31;1.0;4.330708661417323;left;689;242;709;254;40;24;477;239;492;254;30;721;257;12.369316;2.856187;720;257;11.401754;2.632768;491;256;2.236067;0.516328;491;256;2.236067;0.516328;1;1618834093043;1618834094048;1005
0.2309090909090909;Fitts;P100;9;1;9;109.91272727272727;476;15.009090909090908;65;1.0;4.330708661417323;right;837;447;857;459;40;24;1301;427;1333;459;64;865;461;8.246211;1.904125;865;461;8.246211;1.904125;1349;461;16.124515;3.723297;1349;461;16.124515;3.723297;1;1618834095214;1618834096185;971
0.2309090909090909;Fitts;P100;10;1;10;109.91272727272727;476;2.309090909090909;10;1.0;4.330708661417323;left;489;587;509;599;40;24;28;594;33;599;10;515;593;8.485281;1.959328;511;593;6.324555;1.460397;31;599;2.0;0.461818;31;599;2.0;0.461818;1;1618834097858;1618834098964;1106
0.2309090909090909;Fitts;P100;11;1;11;50.10727272727272;217;24.938181818181818;108;1.0;4.330708661417323;left;396;433;416;445;40;24;145;391;199;445;108;421;444;5.099019;1.177409;417;445;1.0;0.230909;226;449;27.294688;6.302591;226;449;27.294688;6.302591;1;1618834100198;1618834100741;543
0.2309090909090909;Fitts;P100;12;1;12;50.10727272727272;217;20.08909090909091;87;1.0;4.330708661417323;left;727;705;747;717;40;24;487;674;530;717;86;743;716;4.123105;0.952062;741;716;6.082762;1.404565;530;720;3.0;0.692727;530;720;3.0;0.692727;1;1618834101785;1618834102283;498
