pixelSizeMM;testType;part;trialNumInTest;blockNumber;trialInBlock;distanceMM;distancePix;widthMM;widthPix;cursorSizeMM;cursorSizePix;movementDirection;startPosX;startPosY;startCenterX;startCenterY;startWidthPix;startHeightPix;targetPosX;targetPosY;targetCenterX;targetCenterY;targetSideLengthPix;pressPointStartX;pressPointStartY;EucDistPressStartPix;EucDistPressStartMM;releasePointStartX;releasePointStartY;EucDistReleaseStartPix;EucDistReleaseStartMM;pressPointTargetX;pressPointTargetY;EucDistPressTargetPix;EucDistPressTargetMM;releasePointTargetX;releasePointTargetY;EucDistReleaseTargetPix;EucDistReleaseTargetMM;hit;trialStartTime;trialEndTime;trialTime
0.2309090909090909;Fitts;P1;1;1;1;150.0909090909091;650;7.158181818181818;31;35.0;151.5748031496063;right;420;587;440;672;40;171;1075;657;1090;672;30;442;664;8.246211;1.904125;442;664;8.246211;1.904125;1088;670;2.828427;0.653109;1088;670;2.828427;0.653109;1;1613304298213;1613304299782;1569
0.2309090909090909;Fitts;P1;2;1;2;150.0909090909091;650;9.929090909090908;43;35.0;151.5748031496063;left;873;317;893;402;40;171;222;381;243;402;42;897;404;4.472135;1.032656;897;404;4.472135;1.032656;251;412;12.806248;2.957079;251;412;12.806248;2.957079;1;1613304306415;1613304307582;1167
0.2309090909090909;Fitts;P1;3;1;3;150.0909090909091;650;24.938181818181818;108;35.0;151.5748031496063;right;500;517;520;602;40;171;1116;548;1170;602;108;532;597;13.0;3.001818;532;597;13.0;3.001818;1177;597;8.602325;1.986355;1177;597;8.602325;1.986355;1;1613304308775;1613304309975;1200
0.2309090909090909;Fitts;P1;4;1;4;50.10727272727272;217;20.08909090909091;87;35.0;151.5748031496063;left;929;336;949;421;40;171;689;378;732;421;86;963;414;15.652475;3.614298;963;414;15.652475;3.614298;743;422;11.045361;2.550474;743;422;11.045361;2.550474;1;1613304311185;1613304312102;917
0.2309090909090909;Fitts;P1;5;1;5;50.10727272727272;217;24.938181818181818;108;35.0;151.5748031496063;left;1210;516;1230;601;40;171;959;547;1013;601;108;1221;597;9.848857;2.27419;1221;597;9.848857;2.27419;1008;601;5.0;1.154545;1008;601;5.0;1.154545;1;1613304313440;1613304314179;739
0.2309090909090909;Fitts;P1;6;1;6;150.0909090909091;650;2.309090909090909;10;35.0;151.5748031496063;right;239;342;259;427;40;171;904;422;909;427;10;271;424;12.369316;2.856187;271;424;12.369316;2.856187;911;433;6.324555;1.460397;911;433;6.324555;1.460397;0;1613304315745;1613304317401;1656
0.2309090909090909;Fitts;P1;7;1;7;50.10727272727272;217;7.158181818181818;31;35.0;151.5748031496063;right;438;558;458;643;40;171;660;628;675;643;30;458;640;3.0;0.692727;458;640;3.0;0.692727;679;651;8.944271;2.065313;679;651;8.944271;2.065313;1;1613304318974;1613304320327;1353
0.2309090909090909;Fitts;P1;8;1;8;150.0909090909091;650;15.009090909090908;65;35.0;151.5748031496063;right;210;237;230;322;40;171;848;290;880;322;64;241;324;11.180339;2.581642;241;324;11.180339;2.581642;890;330;12.806248;2.957079;890;330;12.806248;2.957079;1;1613304321893;1613304322995;1102
0.2309090909090909;Fitts;P1;9;1;9;109.91272727272727;476;20.08909090909091;87;35.0;151.5748031496063;right;457;500;477;585;40;171;910;542;953;585;86;462;589;15.524174;3.584673;462;589;15.524174;3.584673;943;579;11.661903;2.692839;943;579;11.661903;2.692839;1;1613304324270;1613304325271;1001
0.2309090909090909;Fitts;P1;10;1;10;109.91272727272727;476;2.309090909090909;10;35.0;151.5748031496063;right;366;256;386;341;40;171;857;336;862;341;10;386;329;12.0;2.770909;386;329;12.0;2.770909;868;348;9.219544;2.128876;868;348;9.219544;2.128876;0;1613304326748;1613304327721;973
